asset,number_of_indexable_pages,pages,recommended_use,action
/studio_gallery/jewelry-upgrade-86d3f26f.png,29,/anti_tragus_piercing_las_vegas_authority_guide/ | /artists/katelyn-cole/ | /bridge_piercing_las_vegas_authority_guide/ | /cartilage_piercing_las_vegas_authority_guide/ | /conch_piercing_las_vegas_authority_guide/ | /daith_piercing_las_vegas_authority_guide/ | /ear_curation_piercing_las_vegas_authority_guide/ | /ear_lobe_piercing_las_vegas_authority_guide/ | /ear_piercing_las_vegas_authority_guide/ | /eyebrow_piercing_las_vegas_authority_guide/ | /flat_piercing_las_vegas_authority_guide/ | /forward_helix_piercing_las_vegas_authority_guide/ | /frog_eyes_tongue_piercing_las_vegas_authority_guide/ | /genital_piercing_las_vegas_authority_guide/ | /helix-piercing-las-vegas/ | /high_nostril_piercing_las_vegas_authority_guide/ | /how_much_do_tattoos_cost_in_las_vegas_authority_guide/ | /industrial_piercing_las_vegas_authority_guide/ | /lip_piercing_las_vegas_authority_guide/ | /nostril_piercing_las_vegas_authority_guide/ | /orbital_piercing_las_vegas_authority_guide/ | /piercing-shop-standards/ | /rook_piercing_las_vegas_authority_guide/ | /septum_piercing_las_vegas_authority_guide/ | /snake_bites_piercing_las_vegas_authority_guide/ | /snug_piercing_las_vegas_authority_guide/ | /studio_gallery/ | /tragus_piercing_las_vegas_authority_guide/ | /upper_lobe_piercing_las_vegas_authority_guide/,Shared branding/studio asset,ALLOW_SHARED
/studio_gallery/jewelry-upgrade-86d3f26f.webp,29,/anti_tragus_piercing_las_vegas_authority_guide/ | /artists/katelyn-cole/ | /bridge_piercing_las_vegas_authority_guide/ | /cartilage_piercing_las_vegas_authority_guide/ | /conch_piercing_las_vegas_authority_guide/ | /daith_piercing_las_vegas_authority_guide/ | /ear_curation_piercing_las_vegas_authority_guide/ | /ear_lobe_piercing_las_vegas_authority_guide/ | /ear_piercing_las_vegas_authority_guide/ | /eyebrow_piercing_las_vegas_authority_guide/ | /flat_piercing_las_vegas_authority_guide/ | /forward_helix_piercing_las_vegas_authority_guide/ | /frog_eyes_tongue_piercing_las_vegas_authority_guide/ | /genital_piercing_las_vegas_authority_guide/ | /helix-piercing-las-vegas/ | /high_nostril_piercing_las_vegas_authority_guide/ | /how_much_do_tattoos_cost_in_las_vegas_authority_guide/ | /industrial_piercing_las_vegas_authority_guide/ | /lip_piercing_las_vegas_authority_guide/ | /nostril_piercing_las_vegas_authority_guide/ | /orbital_piercing_las_vegas_authority_guide/ | /piercing-shop-standards/ | /rook_piercing_las_vegas_authority_guide/ | /septum_piercing_las_vegas_authority_guide/ | /snake_bites_piercing_las_vegas_authority_guide/ | /snug_piercing_las_vegas_authority_guide/ | /studio_gallery/ | /tragus_piercing_las_vegas_authority_guide/ | /upper_lobe_piercing_las_vegas_authority_guide/,Shared branding/studio asset,ALLOW_SHARED
/home_work_of_art_tattoo_piercing/client-portfolio/skull-hourglass-forearm-realism-fresh-las-vegas.png,27,/aging_skin_skin_science_las_vegas_authority_guide/ | /appointments/ | /artists/joshua-cole/ | /best_fine_line_tattoos_in_vegas_ultimate_authority_guide/ | /collagen_skin_science_las_vegas_authority_guide/ | /dermis_skin_science_las_vegas_authority_guide/ | /diabetes_skin_science_las_vegas_authority_guide/ | /eczema_skin_science_las_vegas_authority_guide/ | /epidermis_skin_science_las_vegas_authority_guide/ | /flash_art_deals_under_100/ | /healed_black_grey_tattoos_las_vegas/ | /healed_tattoo_gallery_las_vegas/ | /how-to-choose-a-tattoo-artist/ | /how_much_do_tattoos_cost_in_las_vegas_authority_guide/ | /hypodermis_skin_science_las_vegas_authority_guide/ | /macrophages_skin_science_las_vegas_authority_guide/ | /offsite_bookings/ | /psoriasis_skin_science_las_vegas_authority_guide/ | /reviews/ | /scar_tissue_tattoo_skin_science_las_vegas_authority_guide/ | /stretch_marks_skin_science_las_vegas_authority_guide/ | /studio-vs-strip-shops/ | /tattoo-aftercare-desert-climate/ | /tattoo_pain_chart_placement_sensitivity_guide/ | /vegas_tattoo_shop_vs_cheap_strip_tattoo_what_you_need_to_know/ | /walk-in-tattoos-las-vegas/ | /why_tattoos_stay_forever_skin_science_las_vegas_authority_guide/,Use only where the asset directly proves the page intent,REVIEW_OVERUSE
/home_work_of_art_tattoo_piercing/client-portfolio/skull-hourglass-forearm-realism-fresh-las-vegas.webp,27,/aging_skin_skin_science_las_vegas_authority_guide/ | /appointments/ | /artists/joshua-cole/ | /best_fine_line_tattoos_in_vegas_ultimate_authority_guide/ | /collagen_skin_science_las_vegas_authority_guide/ | /dermis_skin_science_las_vegas_authority_guide/ | /diabetes_skin_science_las_vegas_authority_guide/ | /eczema_skin_science_las_vegas_authority_guide/ | /epidermis_skin_science_las_vegas_authority_guide/ | /flash_art_deals_under_100/ | /healed_black_grey_tattoos_las_vegas/ | /healed_tattoo_gallery_las_vegas/ | /how-to-choose-a-tattoo-artist/ | /how_much_do_tattoos_cost_in_las_vegas_authority_guide/ | /hypodermis_skin_science_las_vegas_authority_guide/ | /macrophages_skin_science_las_vegas_authority_guide/ | /offsite_bookings/ | /psoriasis_skin_science_las_vegas_authority_guide/ | /reviews/ | /scar_tissue_tattoo_skin_science_las_vegas_authority_guide/ | /stretch_marks_skin_science_las_vegas_authority_guide/ | /studio-vs-strip-shops/ | /tattoo-aftercare-desert-climate/ | /tattoo_pain_chart_placement_sensitivity_guide/ | /vegas_tattoo_shop_vs_cheap_strip_tattoo_what_you_need_to_know/ | /walk-in-tattoos-las-vegas/ | /why_tattoos_stay_forever_skin_science_las_vegas_authority_guide/,Use only where the asset directly proves the page intent,REVIEW_OVERUSE
/studio_gallery/curated-helix-tragus-lobe-piercings-88475d3e.webp,23,/anti_tragus_piercing_las_vegas_authority_guide/ | /cartilage_piercing_las_vegas_authority_guide/ | /conch_piercing_las_vegas_authority_guide/ | /daith_piercing_las_vegas_authority_guide/ | /ear_curation_piercing_las_vegas_authority_guide/ | /ear_piercing_las_vegas_authority_guide/ | /flat_piercing_las_vegas_authority_guide/ | /forward_helix_piercing_las_vegas_authority_guide/ | /frog_eyes_tongue_piercing_las_vegas_authority_guide/ | /genital_piercing_las_vegas_authority_guide/ | /helix-piercing-las-vegas/ | /how_much_do_tattoos_cost_in_las_vegas_authority_guide/ | /las-vegas-tattoo-resource-center/ | /lip_piercing_las_vegas_authority_guide/ | /orbital_piercing_las_vegas_authority_guide/ | /piercing-shop-standards/ | /rook_piercing_las_vegas_authority_guide/ | /snake_bites_piercing_las_vegas_authority_guide/ | /snug_piercing_las_vegas_authority_guide/ | /studio_gallery/ | /tattoo_shop_near_the_strip_nap_corrected/ | /tattoo_shop_paradise_nevada/ | /tragus_piercing_las_vegas_authority_guide/,Shared branding/studio asset,ALLOW_SHARED
/studio_gallery/flat-and-conch-cartilage-studs-c317138a.webp,23,/anti_tragus_piercing_las_vegas_authority_guide/ | /artists/katelyn-cole/ | /cartilage_piercing_las_vegas_authority_guide/ | /conch_piercing_las_vegas_authority_guide/ | /daith_piercing_las_vegas_authority_guide/ | /ear_curation_piercing_las_vegas_authority_guide/ | /ear_piercing_las_vegas_authority_guide/ | /flat_piercing_las_vegas_authority_guide/ | /forward_helix_piercing_las_vegas_authority_guide/ | /frog_eyes_tongue_piercing_las_vegas_authority_guide/ | /genital_piercing_las_vegas_authority_guide/ | /helix-piercing-las-vegas/ | /how_much_do_tattoos_cost_in_las_vegas_authority_guide/ | /las-vegas-tattoo-resource-center/ | /lip_piercing_las_vegas_authority_guide/ | /orbital_piercing_las_vegas_authority_guide/ | /piercing-shop-standards/ | /rook_piercing_las_vegas_authority_guide/ | /snake_bites_piercing_las_vegas_authority_guide/ | /snug_piercing_las_vegas_authority_guide/ | /studio_gallery/ | /tattoo_shop_serving_henderson_nevada/ | /tragus_piercing_las_vegas_authority_guide/,Shared branding/studio asset,ALLOW_SHARED
/studio_gallery/flat-and-conch-cartilage-studs-c317138a.png,22,/anti_tragus_piercing_las_vegas_authority_guide/ | /artists/katelyn-cole/ | /cartilage_piercing_las_vegas_authority_guide/ | /conch_piercing_las_vegas_authority_guide/ | /daith_piercing_las_vegas_authority_guide/ | /ear_curation_piercing_las_vegas_authority_guide/ | /ear_piercing_las_vegas_authority_guide/ | /flat_piercing_las_vegas_authority_guide/ | /forward_helix_piercing_las_vegas_authority_guide/ | /frog_eyes_tongue_piercing_las_vegas_authority_guide/ | /genital_piercing_las_vegas_authority_guide/ | /helix-piercing-las-vegas/ | /how_much_do_tattoos_cost_in_las_vegas_authority_guide/ | /las-vegas-tattoo-resource-center/ | /lip_piercing_las_vegas_authority_guide/ | /orbital_piercing_las_vegas_authority_guide/ | /piercing-shop-standards/ | /rook_piercing_las_vegas_authority_guide/ | /snake_bites_piercing_las_vegas_authority_guide/ | /snug_piercing_las_vegas_authority_guide/ | /studio_gallery/ | /tragus_piercing_las_vegas_authority_guide/,Shared branding/studio asset,ALLOW_SHARED
/studio_gallery/curated-helix-tragus-lobe-piercings-88475d3e.png,21,/anti_tragus_piercing_las_vegas_authority_guide/ | /cartilage_piercing_las_vegas_authority_guide/ | /conch_piercing_las_vegas_authority_guide/ | /daith_piercing_las_vegas_authority_guide/ | /ear_curation_piercing_las_vegas_authority_guide/ | /ear_piercing_las_vegas_authority_guide/ | /flat_piercing_las_vegas_authority_guide/ | /forward_helix_piercing_las_vegas_authority_guide/ | /frog_eyes_tongue_piercing_las_vegas_authority_guide/ | /genital_piercing_las_vegas_authority_guide/ | /helix-piercing-las-vegas/ | /how_much_do_tattoos_cost_in_las_vegas_authority_guide/ | /las-vegas-tattoo-resource-center/ | /lip_piercing_las_vegas_authority_guide/ | /orbital_piercing_las_vegas_authority_guide/ | /piercing-shop-standards/ | /rook_piercing_las_vegas_authority_guide/ | /snake_bites_piercing_las_vegas_authority_guide/ | /snug_piercing_las_vegas_authority_guide/ | /studio_gallery/ | /tragus_piercing_las_vegas_authority_guide/,Shared branding/studio asset,ALLOW_SHARED
/studio_gallery/ear-piercing-healed-result-0f5998be.png,21,/anti_tragus_piercing_las_vegas_authority_guide/ | /cartilage_piercing_las_vegas_authority_guide/ | /conch_piercing_las_vegas_authority_guide/ | /daith_piercing_las_vegas_authority_guide/ | /ear_curation_piercing_las_vegas_authority_guide/ | /ear_piercing_las_vegas_authority_guide/ | /flat_piercing_las_vegas_authority_guide/ | /forward_helix_piercing_las_vegas_authority_guide/ | /frog_eyes_tongue_piercing_las_vegas_authority_guide/ | /genital_piercing_las_vegas_authority_guide/ | /helix-piercing-las-vegas/ | /how_much_do_tattoos_cost_in_las_vegas_authority_guide/ | /lip_piercing_las_vegas_authority_guide/ | /orbital_piercing_las_vegas_authority_guide/ | /piercing-shop-standards/ | /rook_piercing_las_vegas_authority_guide/ | /snake_bites_piercing_las_vegas_authority_guide/ | /snug_piercing_las_vegas_authority_guide/ | /studio_gallery/ | /tragus_piercing_las_vegas_authority_guide/ | /upper_lobe_piercing_las_vegas_authority_guide/,Shared branding/studio asset,ALLOW_SHARED
/studio_gallery/ear-piercing-healed-result-0f5998be.webp,21,/anti_tragus_piercing_las_vegas_authority_guide/ | /cartilage_piercing_las_vegas_authority_guide/ | /conch_piercing_las_vegas_authority_guide/ | /daith_piercing_las_vegas_authority_guide/ | /ear_curation_piercing_las_vegas_authority_guide/ | /ear_piercing_las_vegas_authority_guide/ | /flat_piercing_las_vegas_authority_guide/ | /forward_helix_piercing_las_vegas_authority_guide/ | /frog_eyes_tongue_piercing_las_vegas_authority_guide/ | /genital_piercing_las_vegas_authority_guide/ | /helix-piercing-las-vegas/ | /how_much_do_tattoos_cost_in_las_vegas_authority_guide/ | /lip_piercing_las_vegas_authority_guide/ | /orbital_piercing_las_vegas_authority_guide/ | /piercing-shop-standards/ | /rook_piercing_las_vegas_authority_guide/ | /snake_bites_piercing_las_vegas_authority_guide/ | /snug_piercing_las_vegas_authority_guide/ | /studio_gallery/ | /tragus_piercing_las_vegas_authority_guide/ | /upper_lobe_piercing_las_vegas_authority_guide/,Shared branding/studio asset,ALLOW_SHARED
