url,source_file,category,title,h1,canonical,robots,word_count,image_count,unique_search_intent_score_0_5,unique_search_intent_note,unique_firsthand_information_score_0_5,original_studio_imagery_score_0_5,original_artist_commentary_score_0_5,unique_factual_information_score_0_5,inbound_internal_links,overlap_score_0_5,overlap_level,highest_overlap_url,commercial_usefulness_score_0_5,local_usefulness_score_0_5,deserves_to_exist_without_google_score_0_5,classification,recommended_target_url,notes
https://workofarttattoo.com/aging_skin_skin_science_las_vegas_authority_guide/,aging_skin_skin_science_las_vegas_authority_guide/code.html,skin-science,Aging Skin & Long-Term Tattoo Clarity | Work of Art,Aging Skin & Long-Term Tattoo Clarity,https://workofarttattoo.com/aging_skin_skin_science_las_vegas_authority_guide/,"index, follow, max-snippet:-1, max-image-preview:large",1194,6,3,understand skin/tattoo science before booking,5,5,5,4,4,1.0,low,https://workofarttattoo.com/collagen_skin_science_las_vegas_authority_guide/,3,4,4,MERGE,https://workofarttattoo.com/skin_science_tattoo_dermatology_authority_guide/,science subpage is informational but thin as standalone; consolidate unless clinically differentiated
https://workofarttattoo.com/anti_eyebrow_piercing_las_vegas_authority_guide/,anti_eyebrow_piercing_las_vegas_authority_guide/code.html,piercing-placement,Anti-Eyebrow Piercing — Katelyn Cole | Work of Art Las Vegas | Work of Art,The Complete Anti-Eyebrow Piercing Guide,https://workofarttattoo.com/anti_eyebrow_piercing_las_vegas_authority_guide/,"index, follow, max-snippet:-1, max-image-preview:large",1868,6,2,"research piercing placement, healing, jewelry, and book",5,5,5,5,9,3.6,medium,https://workofarttattoo.com/anti_tragus_piercing_las_vegas_authority_guide/,4,4,4,IMPROVE,https://workofarttattoo.com/piercing_types_las_vegas_authority_hub/,"placement page can stay only with anatomy-specific advice, jewelry examples, photos, and Katelyn/Katie commentary"
https://workofarttattoo.com/anti_tragus_piercing_las_vegas_authority_guide/,anti_tragus_piercing_las_vegas_authority_guide/code.html,piercing-placement,Anti-Tragus Piercing — Katelyn Cole | Work of Art Las Vegas | Work of Art,The Complete Anti-Tragus Piercing Guide,https://workofarttattoo.com/anti_tragus_piercing_las_vegas_authority_guide/,"index, follow, max-snippet:-1, max-image-preview:large",1943,6,2,"research piercing placement, healing, jewelry, and book",5,5,5,5,3,3.6,medium,https://workofarttattoo.com/anti_eyebrow_piercing_las_vegas_authority_guide/,4,4,4,IMPROVE,https://workofarttattoo.com/piercing_types_las_vegas_authority_hub/,"placement page can stay only with anatomy-specific advice, jewelry examples, photos, and Katelyn/Katie commentary"
https://workofarttattoo.com/appointments/,appointments/code.html,utility-commercial,Book an Appointment | Work of Art Tattoo & Piercing Las Vegas,Book your appointment,https://workofarttattoo.com/appointments/,"index, follow, max-snippet:-1, max-image-preview:large",857,4,5,"complete booking, contact, review, media, or reference task",5,5,5,4,1693,1.1,low,https://workofarttattoo.com/bridge_piercing_las_vegas_authority_guide/,5,4,5,KEEP,,operational/commercial utility
https://workofarttattoo.com/appointments/woa-booking-forms.html,appointments/woa-booking-forms.html,utility-commercial,,,,none,164,0,5,"complete booking, contact, review, media, or reference task",0,0,2,2,0,0.4,low,https://workofarttattoo.com/terms-of-service/,4,0,5,KEEP,,operational/commercial utility
https://workofarttattoo.com/artists/,artists/code.html,artist,Artists | Work of Art Tattoo & Piercing Las Vegas,Artists at Work of Art,https://workofarttattoo.com/artists/,"index, follow, max-snippet:-1, max-image-preview:large",124,3,5,evaluate artist portfolio and book,5,4,4,1,61,1.4,low,https://workofarttattoo.com/artists_raw/joshua.raw.html,4,2,5,KEEP,,artist/roster page has unique commercial value
https://workofarttattoo.com/artists/joshua-cole/,artists/joshua-cole/code.html,artist,Joshua Cole | Realism Tattoo Artist Las Vegas | Work of Art,Joshua Cole — Realism Tattoo Artist Las Vegas,https://workofarttattoo.com/artists/joshua-cole/,"index, follow, max-snippet:-1, max-image-preview:large",2178,46,3,evaluate artist portfolio and book,5,5,5,5,498,4.5,high,https://workofarttattoo.com/artists_build/joshua-cole.html,5,4,5,KEEP,,artist/roster page has unique commercial value
https://workofarttattoo.com/artists/katelyn-cole/,artists/katelyn-cole/code.html,artist,Female Piercer Las Vegas | Katelyn Cole | Work of Art,Katelyn Cole — Female Piercer in Las Vegas,https://workofarttattoo.com/artists/katelyn-cole/,"index, follow, max-snippet:-1, max-image-preview:large",1864,22,3,evaluate artist portfolio and book,5,5,5,5,687,4.5,high,https://workofarttattoo.com/artists_build/katelyn-cole.html,5,4,5,KEEP,,artist/roster page has unique commercial value
https://workofarttattoo.com/artists/teralyn/,artists/teralyn/code.html,artist,Teralyn | Fine Line Tattoo Artist Las Vegas | Work of Art,Teralyn,https://workofarttattoo.com/artists/teralyn/,"index, follow, max-snippet:-1, max-image-preview:large",204,1,3,evaluate artist portfolio and book,4,4,3,2,442,4.5,high,https://workofarttattoo.com/artists_build/teralyn.html,5,2,5,KEEP,,artist/roster page has unique commercial value
https://workofarttattoo.com/artists_build/joshua-cole.html,artists_build/joshua-cole.html,legacy-artist-build,Joshua Cole | Realism Tattoo Artist Las Vegas | Work of Art,Joshua Cole — Realism Tattoo Artist Las Vegas,https://workofarttattoo.com/artists/joshua-cole/,"index, follow, max-snippet:-1, max-image-preview:large",2178,46,1,legacy duplicate artist page,5,5,5,5,0,4.5,high,https://workofarttattoo.com/artists/joshua-cole/,3,4,4,301,https://workofarttattoo.com/artists/joshua-cole/,legacy build/raw artist duplicate; public only as build artifact; canonical differs from public URL; map redirect after confirming target
