source_file,pattern,line,excerpt,recommended_action
aging_skin_skin_science_las_vegas_authority_guide/code.html,#1,58,"""surface-container-low"": ""#1c1b1b"",",review context; rewrite if unsupported or artificial
aging_skin_skin_science_las_vegas_authority_guide/code.html,#1,64,"""surface"": ""#131313"",",review context; rewrite if unsupported or artificial
aging_skin_skin_science_las_vegas_authority_guide/code.html,#1,75,"""surface-dim"": ""#131313"",",review context; rewrite if unsupported or artificial
aging_skin_skin_science_las_vegas_authority_guide/code.html,#1,92,"""on-primary-fixed"": ""#1c1b1b"",",review context; rewrite if unsupported or artificial
aging_skin_skin_science_las_vegas_authority_guide/code.html,#1,95,"""background"": ""#131313"",",review context; rewrite if unsupported or artificial
aging_skin_skin_science_las_vegas_authority_guide/code.html,GEO,1715,"""geo"": {",review context; rewrite if unsupported or artificial
aging_skin_skin_science_las_vegas_authority_guide/code.html,GEO,1716,"""@type"": ""GeoCoordinates"",",review context; rewrite if unsupported or artificial
aging_skin_skin_science_las_vegas_authority_guide/code.html,#1,2289,color: #131313;,review context; rewrite if unsupported or artificial
aging_skin_skin_science_las_vegas_authority_guide/code.html,leading,2332,"<a aria-label=""Work of Art Tattoo &amp; Piercing"" class=""woa-site-brand text-[10px] xs:text-[11px] sm:text-xs md:text-sm font-headline-md font-semibold text-on-surface uppercase tracking-tight leading-tight shrink-0 hover:text-secondary tra",review context; rewrite if unsupported or artificial
aging_skin_skin_science_las_vegas_authority_guide/code.html,GEO,2333,"<nav class=""hidden md:flex flex-wrap justify-end items-center gap-1 xl:gap-2"" data-woa-desktop-nav=""1""><details aria-label=""Portfolio submenu"" class=""relative z-[70] woa-desktop-dd""><summary class=""woa-top-nav-link text-nav-link font-nav-li",review context; rewrite if unsupported or artificial
aging_skin_skin_science_las_vegas_authority_guide/code.html,leading,2333,"<nav class=""hidden md:flex flex-wrap justify-end items-center gap-1 xl:gap-2"" data-woa-desktop-nav=""1""><details aria-label=""Portfolio submenu"" class=""relative z-[70] woa-desktop-dd""><summary class=""woa-top-nav-link text-nav-link font-nav-li",review context; rewrite if unsupported or artificial
aging_skin_skin_science_las_vegas_authority_guide/code.html,leading,2334,"<button aria-controls=""w6d91b6ad32_panel"" aria-expanded=""false"" aria-label=""Open navigation menu"" class=""md:!hidden inline-flex items-center justify-center rounded-sm p-3 -mr-2 text-on-surface-variant hover:text-secondary transition-colors ",review context; rewrite if unsupported or artificial
aging_skin_skin_science_las_vegas_authority_guide/code.html,GEO,2337,"</header><div aria-hidden=""true"" class=""woa-mnav-overlay md:!hidden hidden"" data-overlay=""1"" hidden="""" id=""w6d91b6ad32_ov"" style=""display:none""></div><div aria-label=""Primary"" class=""woa-mnav-panel md:hidden hidden"" data-woa-mobile-panel=""1",review context; rewrite if unsupported or artificial
aging_skin_skin_science_las_vegas_authority_guide/code.html,leading,2337,"</header><div aria-hidden=""true"" class=""woa-mnav-overlay md:!hidden hidden"" data-overlay=""1"" hidden="""" id=""w6d91b6ad32_ov"" style=""display:none""></div><div aria-label=""Primary"" class=""woa-mnav-panel md:hidden hidden"" data-woa-mobile-panel=""1",review context; rewrite if unsupported or artificial
aging_skin_skin_science_las_vegas_authority_guide/code.html,leading,2348,"<h1 class=""font-headline-xl text-headline-lg-mobile md:text-headline-xl text-on-surface leading-tight"">Aging Skin &amp; Long-Term Tattoo Clarity</h1>",review context; rewrite if unsupported or artificial
aging_skin_skin_science_las_vegas_authority_guide/code.html,leading,2349,"<p class=""font-body-lg text-on-surface-variant leading-relaxed"">Skin ages — collagen thins, elastin fails, sun damage accumulates. Tattoos age with it: lines soften, contrast drops, and placement that looked perfect at 25 reads different at",review context; rewrite if unsupported or artificial
aging_skin_skin_science_las_vegas_authority_guide/code.html,leading,2356,"<p class=""font-body-lg text-on-surface leading-relaxed"">I design for the body you will have in twenty years — not just the mirror today. Bold hierarchy, generous spacing, and sun discipline beat ultra-micro detail that cannot survive thin, ",review context; rewrite if unsupported or artificial
aging_skin_skin_science_las_vegas_authority_guide/code.html,leading,2395,"<p class=""font-body-md text-on-surface-variant text-sm leading-snug"">Placement and angle marked for your anatomy — implant-grade starter jewelry sized for swelling.</p>",review context; rewrite if unsupported or artificial
aging_skin_skin_science_las_vegas_authority_guide/code.html,leading,2402,"<p class=""font-body-md text-on-surface-variant text-sm leading-snug"">Fresh cartilage or lobe — implant-grade studs with extra post length for swelling.</p>",review context; rewrite if unsupported or artificial
aging_skin_skin_science_las_vegas_authority_guide/code.html,leading,2409,"<p class=""font-body-md text-on-surface-variant text-sm leading-snug"">Around 6–8 weeks swelling drops — this is when downsizing protects the angle and prevents bumps.</p>",review context; rewrite if unsupported or artificial
aging_skin_skin_science_las_vegas_authority_guide/code.html,leading,2416,"<p class=""font-body-md text-on-surface-variant text-sm leading-snug"">Downsize to a shorter post or swap ends once the fistula is stable — booked as a check-in, not a mall kiosk.</p>",review context; rewrite if unsupported or artificial
aging_skin_skin_science_las_vegas_authority_guide/code.html,leading,2423,"<p class=""font-body-md text-on-surface-variant text-sm leading-snug"">Flat and conch starters sit long on purpose — shortening too soon causes embedding and bumps.</p>",review context; rewrite if unsupported or artificial
aging_skin_skin_science_las_vegas_authority_guide/code.html,premier,2545,"<p class=""font-body-md text-on-surface-variant"">The professional studio for precision tattooing and expert piercing near the Las Vegas Strip.</p>",review context; rewrite if unsupported or artificial
aging_skin_skin_science_las_vegas_authority_guide/code.html,#1,2610,--ev-color-background: #131313;,review context; rewrite if unsupported or artificial
aging_skin_skin_science_las_vegas_authority_guide/code.html,#1,2617,background: #131313 !important;,review context; rewrite if unsupported or artificial
aging_skin_skin_science_las_vegas_authority_guide/code.html,#1,2622,background: #131313 !important;,review context; rewrite if unsupported or artificial
aging_skin_skin_science_las_vegas_authority_guide/code.html,#1,2633,color: #1c1b1b !important;,review context; rewrite if unsupported or artificial
anti_eyebrow_piercing_las_vegas_authority_guide/code.html,#1,58,"""surface-container-low"": ""#1c1b1b"",",review context; rewrite if unsupported or artificial
anti_eyebrow_piercing_las_vegas_authority_guide/code.html,#1,64,"""surface"": ""#131313"",",review context; rewrite if unsupported or artificial
anti_eyebrow_piercing_las_vegas_authority_guide/code.html,#1,75,"""surface-dim"": ""#131313"",",review context; rewrite if unsupported or artificial
anti_eyebrow_piercing_las_vegas_authority_guide/code.html,#1,92,"""on-primary-fixed"": ""#1c1b1b"",",review context; rewrite if unsupported or artificial
anti_eyebrow_piercing_las_vegas_authority_guide/code.html,#1,95,"""background"": ""#131313"",",review context; rewrite if unsupported or artificial
anti_eyebrow_piercing_las_vegas_authority_guide/code.html,GEO,1715,"""geo"": {",review context; rewrite if unsupported or artificial
anti_eyebrow_piercing_las_vegas_authority_guide/code.html,GEO,1716,"""@type"": ""GeoCoordinates"",",review context; rewrite if unsupported or artificial
anti_eyebrow_piercing_las_vegas_authority_guide/code.html,#1,2190,color: #131313;,review context; rewrite if unsupported or artificial
anti_eyebrow_piercing_las_vegas_authority_guide/code.html,leading,2233,"<a aria-label=""Work of Art Tattoo &amp; Piercing"" class=""woa-site-brand text-[10px] xs:text-[11px] sm:text-xs md:text-sm font-headline-md font-semibold text-on-surface uppercase tracking-tight leading-tight shrink-0 hover:text-secondary tra",review context; rewrite if unsupported or artificial
anti_eyebrow_piercing_las_vegas_authority_guide/code.html,GEO,2234,"<nav class=""hidden md:flex flex-wrap justify-end items-center gap-1 xl:gap-2"" data-woa-desktop-nav=""1""><details aria-label=""Portfolio submenu"" class=""relative z-[70] woa-desktop-dd""><summary class=""woa-top-nav-link text-nav-link font-nav-li",review context; rewrite if unsupported or artificial
anti_eyebrow_piercing_las_vegas_authority_guide/code.html,leading,2234,"<nav class=""hidden md:flex flex-wrap justify-end items-center gap-1 xl:gap-2"" data-woa-desktop-nav=""1""><details aria-label=""Portfolio submenu"" class=""relative z-[70] woa-desktop-dd""><summary class=""woa-top-nav-link text-nav-link font-nav-li",review context; rewrite if unsupported or artificial
anti_eyebrow_piercing_las_vegas_authority_guide/code.html,leading,2235,"<button aria-controls=""wf5a3fb4496_panel"" aria-expanded=""false"" aria-label=""Open navigation menu"" class=""md:!hidden inline-flex items-center justify-center rounded-sm p-3 -mr-2 text-on-surface-variant hover:text-secondary transition-colors ",review context; rewrite if unsupported or artificial
anti_eyebrow_piercing_las_vegas_authority_guide/code.html,GEO,2238,"</header><div aria-hidden=""true"" class=""woa-mnav-overlay md:!hidden hidden"" data-overlay=""1"" hidden="""" id=""wf5a3fb4496_ov"" style=""display:none""></div><div aria-label=""Primary"" class=""woa-mnav-panel md:hidden hidden"" data-woa-mobile-panel=""1",review context; rewrite if unsupported or artificial
anti_eyebrow_piercing_las_vegas_authority_guide/code.html,leading,2238,"</header><div aria-hidden=""true"" class=""woa-mnav-overlay md:!hidden hidden"" data-overlay=""1"" hidden="""" id=""wf5a3fb4496_ov"" style=""display:none""></div><div aria-label=""Primary"" class=""woa-mnav-panel md:hidden hidden"" data-woa-mobile-panel=""1",review context; rewrite if unsupported or artificial
anti_eyebrow_piercing_las_vegas_authority_guide/code.html,leading,2283,"<h1 class=""font-headline-xl text-headline-lg-mobile md:text-headline-xl text-on-surface leading-tight"">The Complete Anti-Eyebrow Piercing Guide</h1>",review context; rewrite if unsupported or artificial
anti_eyebrow_piercing_las_vegas_authority_guide/code.html,leading,2285,"<p class=""font-body-lg text-on-surface-variant leading-relaxed"">Anti-eyebrow piercings sit on the upper cheek below the brow — a surface aesthetic that looks like a brow piercing flipped. They are beautiful and unforgiving: angle, jewelry, ",review context; rewrite if unsupported or artificial
anti_eyebrow_piercing_las_vegas_authority_guide/code.html,leading,2292,"<p class=""font-body-lg text-on-surface leading-relaxed"">I use surface bar or curved barbell techniques depending on your cheek anatomy — one size does not fit all.</p>",review context; rewrite if unsupported or artificial
anti_eyebrow_piercing_las_vegas_authority_guide/code.html,leading,2438,"<p class=""font-body-md text-on-surface-variant text-sm leading-snug"">Placement and angle marked for your anatomy — implant-grade starter jewelry sized for swelling.</p>",review context; rewrite if unsupported or artificial
anti_eyebrow_piercing_las_vegas_authority_guide/code.html,leading,2445,"<p class=""font-body-md text-on-surface-variant text-sm leading-snug"">Days 3–7: tenderness around nostril, eyebrow, or bridge — keep hands off and saline only.</p>",review context; rewrite if unsupported or artificial
anti_eyebrow_piercing_las_vegas_authority_guide/code.html,leading,2452,"<p class=""font-body-md text-on-surface-variant text-sm leading-snug"">Healed facial work — shorter posts and decorative ends once swelling is gone.</p>",review context; rewrite if unsupported or artificial
anti_eyebrow_piercing_las_vegas_authority_guide/code.html,leading,2459,"<p class=""font-body-md text-on-surface-variant text-sm leading-snug"">Downsize to a shorter post or swap ends once the fistula is stable — booked as a check-in, not a mall kiosk.</p>",review context; rewrite if unsupported or artificial
anti_eyebrow_piercing_las_vegas_authority_guide/code.html,leading,2466,"<p class=""font-body-md text-on-surface-variant text-sm leading-snug"">Starter jewelry sits long so tissue is not pulled inward — embedding happens when posts are too short too soon.</p>",review context; rewrite if unsupported or artificial
anti_eyebrow_piercing_las_vegas_authority_guide/code.html,premier,2561,"<p class=""font-body-md text-on-surface-variant"">The professional studio for precision tattooing and expert piercing near the Las Vegas Strip.</p>",review context; rewrite if unsupported or artificial
anti_eyebrow_piercing_las_vegas_authority_guide/code.html,#1,2626,--ev-color-background: #131313;,review context; rewrite if unsupported or artificial
