route,main_exists,main_path,main_title,main_canonical,main_h1,main_hash,ghpages_exists,ghpages_path,ghpages_title,ghpages_hash,live_status,live_title,live_canonical,live_h1,live_hash,status,action
/,True,index.html,Tattoo and Piercing Shop Near Me | Las Vegas | Work of Art,https://workofarttattoo.com/,,e70fce20cba2,True,index.html,Tattoo and Piercing Shop Near Me | Las Vegas | Work of Art,e70fce20cba2,200,Tattoo and Piercing Shop Near Me | Las Vegas | Work of Art,https://workofarttattoo.com/,,e70fce20cba2,MATCH,Live matches gh-pages; main aligned; live canonical=https://workofarttattoo.com/; live missing email; main missing email
/artists/,True,artists/index.html,Artists | Work of Art Tattoo & Piercing Las Vegas,https://workofarttattoo.com/artists/,Artists at Work of Art,3efe7debd381,True,artists/index.html,Artists | Work of Art Tattoo & Piercing Las Vegas,3efe7debd381,200,Artists | Work of Art Tattoo & Piercing Las Vegas,https://workofarttattoo.com/artists/,Artists at Work of Art,3efe7debd381,MATCH,Live matches gh-pages; main aligned; live canonical=https://workofarttattoo.com/artists/; live missing email; main missing email
/artists/joshua-cole/,True,artists/joshua-cole/index.html,Joshua Cole | Realism Tattoo Artist Las Vegas | Work of Art,https://workofarttattoo.com/artists/joshua-cole/,Joshua Cole — Realism Tattoo Artist Las Vegas,b0ea78df0127,True,artists/joshua-cole/index.html,Joshua Cole | Realism Tattoo Artist Las Vegas | Work of Art,b0ea78df0127,200,Joshua Cole | Realism Tattoo Artist Las Vegas | Work of Art,https://workofarttattoo.com/artists/joshua-cole/,Joshua Cole — Realism Tattoo Artist Las Vegas,b0ea78df0127,MATCH,Live matches gh-pages; main aligned; live canonical=https://workofarttattoo.com/artists/joshua-cole/; live missing email; main missing email
/artists/katelyn-cole/,True,artists/katelyn-cole/index.html,Ear Piercing Las Vegas | Katelyn Cole | Work of Art,https://workofarttattoo.com/artists/katelyn-cole/,Katelyn Cole — Ear Piercing in Las Vegas,daf264414f01,True,artists/katelyn-cole/index.html,Ear Piercing Las Vegas | Katelyn Cole | Work of Art,daf264414f01,200,Ear Piercing Las Vegas | Katelyn Cole | Work of Art,https://workofarttattoo.com/artists/katelyn-cole/,Katelyn Cole — Ear Piercing in Las Vegas,daf264414f01,MATCH,Live matches gh-pages; main aligned; live canonical=https://workofarttattoo.com/artists/katelyn-cole/; live missing email; main missing email
/artists/teralyn/,True,artists/teralyn/code.html,Teralyn | Tattoo Artist & Piercer Las Vegas | Work of Art,https://www.workofarttattoo.com/artists/teralyn/,Teralyn,f036737177a0,True,artists/teralyn/index.html,Teralyn | Tattoo Artist & Piercer Las Vegas | Work of Art,007601fa311d,200,Teralyn | Tattoo Artist & Piercer Las Vegas | Work of Art,https://www.workofarttattoo.com/artists/teralyn/,Teralyn,007601fa311d,MAIN AHEAD,Live=gh-pages; main has newer code.html source not yet deployed; main source=artists/teralyn/code.html (no index.html); hash main=f036737177a0 live=007601fa311d
/appointments/,True,appointments/index.html,Book an Appointment | Work of Art Tattoo & Piercing Las Vegas,https://workofarttattoo.com/appointments/,Book your appointment,76044848722a,True,appointments/index.html,Book an Appointment | Work of Art Tattoo & Piercing Las Vegas,76044848722a,200,Book an Appointment | Work of Art Tattoo & Piercing Las Vegas,https://workofarttattoo.com/appointments/,Book your appointment,76044848722a,MATCH,Live matches gh-pages; main aligned; live canonical=https://workofarttattoo.com/appointments/; live missing email; main missing email
/merchandise/,True,merchandise/code.html,Merchandise & Original Art | Work of Art Tattoo Las Vegas,https://www.workofarttattoo.com/merchandise/,Merchandise & one-of-a-kind pieces,d7886124b791,True,merchandise/index.html,Merchandise & Original Art | Work of Art Tattoo Las Vegas,f4873e997e3a,200,Merchandise & Original Art | Work of Art Tattoo Las Vegas,https://www.workofarttattoo.com/merchandise/,Merchandise & one-of-a-kind pieces,f4873e997e3a,MAIN AHEAD,Live=gh-pages; main has newer code.html source not yet deployed; main source=merchandise/code.html (no index.html); hash main=d7886124b791 live=f4873e997e3a
/cover-up-tattoos-las-vegas/,True,cover-up-tattoos-las-vegas/code.html,Tattoo Cover-Ups — Joshua Cole | Work of Art Las Vegas | Work of Art,https://www.workofarttattoo.com/cover-up-tattoos-las-vegas/,Cover Up Tattoos Las Vegas,45a473af1b23,True,cover-up-tattoos-las-vegas/index.html,Tattoo Cover-Ups — Joshua Cole | Work of Art Las Vegas | Work of Art,7301922826bd,200,Tattoo Cover-Ups — Joshua Cole | Work of Art Las Vegas | Work of Art,https://www.workofarttattoo.com/cover-up-tattoos-las-vegas/,Cover Up Tattoos Las Vegas,7301922826bd,MAIN AHEAD,Live=gh-pages; main has newer code.html source not yet deployed; main source=cover-up-tattoos-las-vegas/code.html (no index.html); hash main=45a473af1b23 live=7301922826bd
/best_piercing_shop_las_vegas_updated_jewelry_standards/,True,best_piercing_shop_las_vegas_updated_jewelry_standards/index.html,Body Piercing Store Near Me Las Vegas | Helix | Work of Art,https://workofarttattoo.com/best_piercing_shop_las_vegas_updated_jewelry_standards/,Body Piercing Store Near Me — Las Vegas,b719ca4311c7,True,best_piercing_shop_las_vegas_updated_jewelry_standards/index.html,Body Piercing Store Near Me Las Vegas | Helix | Work of Art,b719ca4311c7,200,Body Piercing Store Near Me Las Vegas | Helix | Work of Art,https://workofarttattoo.com/best_piercing_shop_las_vegas_updated_jewelry_standards/,Body Piercing Store Near Me — Las Vegas,b719ca4311c7,MATCH,Live matches gh-pages; main aligned; live canonical=https://workofarttattoo.com/best_piercing_shop_las_vegas_updated_jewelry_standards/; live missing phone; live missing email
/fine_line_tattoos_las_vegas_master_authority_guide/,True,fine_line_tattoos_las_vegas_master_authority_guide/index.html,Fine Line Tattoos Las Vegas | Single Needle Guide | WOA,https://workofarttattoo.com/fine_line_tattoos_las_vegas_master_authority_guide/,Mastering the Micro: The Physics & Art of Fine Line,5281f89d4ac8,True,fine_line_tattoos_las_vegas_master_authority_guide/index.html,Fine Line Tattoos Las Vegas | Single Needle Guide | WOA,5281f89d4ac8,200,Fine Line Tattoos Las Vegas | Single Needle Guide | WOA,https://workofarttattoo.com/fine_line_tattoos_las_vegas_master_authority_guide/,Mastering the Micro: The Physics & Art of Fine Line,5281f89d4ac8,MATCH,Live matches gh-pages; main aligned; live canonical=https://workofarttattoo.com/fine_line_tattoos_las_vegas_master_authority_guide/; live missing phone; live missing email
