filename,placement_section,bytes
katelyn-piercing-process-05.webp,Main portfolio / procedure,25820
katelyn-nostril-piercing-05.webp,Nostril,26490
katelyn-earlobe-piercing-02.webp,Ear / lobe,77858
katelyn-earlobe-piercing-03.webp,Ear / lobe,75328
katelyn-upper-ear-piercing-02.webp,Upper ear,68028
katelyn-septum-piercing-02.webp,Facial / septum,53666
katelyn-piercing-process-06.webp,Main portfolio / procedure,51612
katelyn-piercing-process-07.webp,Main portfolio / procedure,43610
katelyn-piercing-process-08.webp,Main portfolio / procedure,45640
katelyn-helix-piercing-02.webp,Helix,66200
katelyn-nostril-piercing-06.webp,Nostril,58296
katelyn-navel-piercing-02.webp,Navel,75764
katelyn-nostril-piercing-07.webp,Nostril,38438
katelyn-lip-labret-piercing-03.webp,Lip / labret,71252
katelyn-lip-labret-piercing-04.webp,Lip / labret,46114
katelyn-nostril-piercing-08.webp,Nostril,68202
katelyn-piercing-client-03.webp,Main portfolio / client,61290
katelyn-piercing-client-04.webp,Main portfolio / client,46116
katelyn-piercing-client-05.webp,Main portfolio / clients,52028
katelyn-septum-piercing-03.webp,Septum / facial,27014
