field,description,required,public_safe
anonymous_id,to be defined before collection,no,review before publication
style,to be defined before collection,no,review before publication
placement,to be defined before collection,no,review before publication
artist,to be defined before collection,no,review before publication
fresh_image,to be defined before collection,no,review before publication
healed_image,to be defined before collection,no,review before publication
healed_interval,to be defined before collection,no,review before publication
touchup,to be defined before collection,no,review before publication
sun_exposure_category_if_voluntary,to be defined before collection,no,review before publication
aftercare_notes,to be defined before collection,no,review before publication
client_consent,to be defined before collection,no,review before publication
