field,description,required,public_safe
anonymous_id,to be defined before collection,no,review before publication
piercing,to be defined before collection,no,review before publication
jewelry_material,to be defined before collection,no,review before publication
starter_size_if_known,to be defined before collection,no,review before publication
downsize_week,to be defined before collection,no,review before publication
sleeping_side,to be defined before collection,no,review before publication
healing_checkpoint,to be defined before collection,no,review before publication
complication_reported,to be defined before collection,no,review before publication
image,to be defined before collection,no,review before publication
piercer,to be defined before collection,no,review before publication
client_consent,to be defined before collection,no,review before publication
