filename,placement_section
katelyn-piercing-process-05.webp,Main portfolio / procedure
katelyn-nostril-piercing-05.webp,Nostril
katelyn-earlobe-piercing-02.webp,Ear / lobe
katelyn-earlobe-piercing-03.webp,Ear / lobe
katelyn-upper-ear-piercing-02.webp,Upper ear
katelyn-septum-piercing-02.webp,Facial / septum
katelyn-piercing-process-06.webp,Main portfolio / procedure
katelyn-piercing-process-07.webp,Main portfolio / procedure
katelyn-piercing-process-08.webp,Main portfolio / procedure
katelyn-helix-piercing-02.webp,Helix
katelyn-nostril-piercing-06.webp,Nostril
katelyn-navel-piercing-02.webp,Navel
katelyn-nostril-piercing-07.webp,Nostril
katelyn-lip-labret-piercing-03.webp,Lip / labret
katelyn-lip-labret-piercing-04.webp,Lip / labret
katelyn-nostril-piercing-08.webp,Nostril
katelyn-piercing-client-03.webp,Main portfolio / client
katelyn-piercing-client-04.webp,Main portfolio / client
katelyn-piercing-client-05.webp,Main portfolio / clients
katelyn-septum-piercing-03.webp,Septum / facial
